mbs;postupak;datum_stecaja
10000074;1;
10000138;1;
10000162;1;
10000226;1;
10000234;5;
10000283;1;
10000306;1;
10000339;1;
10000347;1;
10000363;1;
10000427;1;
10000443;1;
10000486;1;
10000576;1;
10000592;1;
10000613;1;
10000621;1;
10000689;1;
10000701;1;
10000728;1;
10000777;1;
10000808;5;
10000824;1;
10000832;2;2016-08-23T22:00:00Z
10000865;1;
10000929;1;
10000961;1;
10000988;1;
10001026;7;
10001059;1;
10001067;1;
10001139;1;
10001147;1;
10001171;1;
10001198;1;
10001202;1;
10001235;1;
10001294;1;
10001341;1;
10001376;1;
10001392;1;
10001413;1;
10001448;1;
10001456;1;
10001577;1;
10001593;1;
10001616;1;
10001632;3;
10001649;1;
10001690;1;
10001737;1;
10001753;1;
10001770;2;2019-10-02T22:00:00Z
10001788;1;
10001823;1;
10001840;5;
10001874;5;
10001987;5;
10002051;1;
10002078;2;2016-06-12T22:00:00Z
10002086;1;
10002109;1;
10002141;1;
10002176;1;
10002213;1;
10002221;1;
10002248;1;
10002352;1;
10002377;1;
10002432;1;
10002473;1;
10002529;1;
10002553;1;
10002596;1;
10002607;1;
10002623;1;
10002631;1;
10002640;1;
10002658;1;
10002711;1;
10002746;1;
10002754;3;
10002800;1;
10002939;1;
10002963;1;
10002971;1;
10002980;1;
10003005;1;
10003013;1;
10003021;1;
10003048;1;
10003101;1;
10003110;1;
10003144;2;2016-05-30T22:00:00Z
10003152;1;
10003169;1;
10003216;1;
10003224;1;
10003257;1;
10003273;1;
10003281;5;
10003304;1;
10003337;1;
10003370;1;
10003407;1;
10003431;1;
10003440;1;
10003458;1;
10003499;1;
10003546;1;
10003562;1;
10003579;1;
10003595;1;
10003600;1;
10003618;1;
10003683;1;
10003691;1;
10003755;1;
10003763;1;
10003819;1;
10003909;1;
10003933;1;
10003950;1;
10004024;1;
10004073;1;
10004104;1;
10004112;1;
10004129;1;
10004196;1;
10004223;1;
10004231;1;
10004240;1;
10004299;1;
10004303;1;
10004354;1;
10004400;1;
10004467;1;
10004483;1;
10004491;2;
10004514;1;
10004555;1;
10004602;1;
10004651;1;
10004686;1;
10004792;1;
10004864;1;
10004872;1;
10004901;1;
10004910;1;
10004936;1;
10004952;1;
